prname,date,numconf,numdeaths
New Brunswick,4/13/2020,116,0
Nova Scotia,4/13/2020,474,3
Prince Edward Island,4/13/2020,25,0
Yukon,4/13/2020,8,0
Northwest Territories,4/13/2020,5,0
Nunavut,4/13/2020,0,0
Repatriated travellers,4/13/2020,13,
Canada,4/13/2020,25663,780
British Columbia,4/14/2020,1517,72
Alberta,4/14/2020,1870,48
Saskatchewan,4/14/2020,301,4
Manitoba,4/14/2020,229,4
Ontario,4/14/2020,7953,334
Quebec,4/14/2020,14248,435
Newfoundland and Labrador,4/14/2020,244,3
New Brunswick,4/14/2020,116,0
Nova Scotia,4/14/2020,517,3
Prince Edward Island,4/14/2020,25,0
Yukon,4/14/2020,8,0
Northwest Territories,4/14/2020,5,0
Nunavut,4/14/2020,0,0
Repatriated travellers,4/14/2020,13,
Canada,4/14/2020,27046,903
British Columbia,4/15/2020,1561,75
Alberta,4/15/2020,1996,48
Saskatchewan,4/15/2020,304,4
Manitoba,4/15/2020,231,5
Ontario,4/15/2020,8447,390
Quebec,4/15/2020,14860,487
Newfoundland and Labrador,4/15/2020,247,3
New Brunswick,4/15/2020,117,0
Nova Scotia,4/15/2020,549,3
Prince Edward Island,4/15/2020,26,0
Yukon,4/15/2020,8,0
Northwest Territories,4/15/2020,5,0
Nunavut,4/15/2020,0,0
Repatriated travellers,4/15/2020,13,
Canada,4/15/2020,28364,1015
British Columbia,4/16/2020,1561,75
Alberta,4/16/2020,2158,50
Saskatchewan,4/16/2020,305,4
Manitoba,4/16/2020,239,5
Ontario,4/16/2020,8961,428
Quebec,4/16/2020,15857,630
Newfoundland and Labrador,4/16/2020,252,3
New Brunswick,4/16/2020,117,0
Nova Scotia,4/16/2020,579,3
Prince Edward Island,4/16/2020,26,0
Yukon,4/16/2020,8,0
Northwest Territories,4/16/2020,5,0
Nunavut,4/16/2020,0,0
Repatriated travellers,4/16/2020,13,
Canada,4/16/2020,30081,1198
British Columbia,4/17/2020,1575,77
Alberta,4/17/2020,2397,50
Saskatchewan,4/17/2020,306,4
Manitoba,4/17/2020,239,5
Ontario,4/17/2020,9525,483
Quebec,4/17/2020,16798,688
Newfoundland and Labrador,4/17/2020,256,3
New Brunswick,4/17/2020,117,0
Nova Scotia,4/17/2020,606,4
Prince Edward Island,4/17/2020,26,0
Yukon,4/17/2020,9,0
Northwest Territories,4/17/2020,5,0
Nunavut,4/17/2020,0,0
Repatriated travellers,4/17/2020,13,
Canada,4/17/2020,31872,1314
British Columbia,4/18/2020,1618,78
Alberta,4/18/2020,2562,51
Saskatchewan,4/18/2020,310,4
Manitoba,4/18/2020,243,5
Ontario,4/18/2020,10010,519
Quebec,4/18/2020,17521,805
Newfoundland and Labrador,4/18/2020,257,3
New Brunswick,4/18/2020,118,0
Nova Scotia,4/18/2020,649,7
Prince Edward Island,4/18/2020,26,0
Yukon,4/18/2020,9,0
Northwest Territories,4/18/2020,5,0
Nunavut,4/18/2020,0,0
Repatriated travellers,4/18/2020,13,
Canada,4/18/2020,33341,1472
British Columbia,4/19/2020,1618,78
Alberta,4/19/2020,2562,51
Saskatchewan,4/19/2020,314,4
Manitoba,4/19/2020,245,5
Ontario,4/19/2020,10578,558
Quebec,4/19/2020,18357,877
Newfoundland and Labrador,4/19/2020,257,3
New Brunswick,4/19/2020,118,0
Nova Scotia,4/19/2020,675,9
Prince Edward Island,4/19/2020,26,0
Yukon,4/19/2020,9,0
Northwest Territories,4/19/2020,5,0
Nunavut,4/19/2020,0,0
Repatriated travellers,4/19/2020,13,
Canada,4/19/2020,34777,1585
British Columbia,4/20/2020,1699,86
Alberta,4/20/2020,2908,59
Saskatchewan,4/20/2020,316,4
Manitoba,4/20/2020,246,6
Ontario,4/20/2020,11184,589
Quebec,4/20/2020,19319,939
